Sample,locus,Hash,nReads
V047_rep3,COI,9dff06ed196fdb2b76a2dd5eb192da63b7fc206b,2
V047_rep3,COI,ce5011e641eeee11937a35e4e3ed348ea6cde45f,6
V047_rep3,COI,8a3bd3e0f1a6d9a9279478497a93d081a397391f,8
V047_rep3,COI,942902e5faae70ffb2af5ee2fa819f062c7f69c9,3
V047_rep3,COI,f4372fa1b5e82bd569463625d7bf383e881b53b7,6
V047_rep3,COI,34c3b075a5f94ca0daf19e2c5bfeff1738abd716,12
V047_rep3,COI,89867a90a7f4a0afa4aaa89b9d5283082b55974c,2
V047_rep3,COI,c0e59f62af9776d48b6b9c6799929fd841a87cce,14
V047_rep3,COI,50a3fca553cf6df87e9475a900abbb7a970de0e0,14
V047_rep3,COI,275c162ab2d1c3ddaa60d7343691d3c67bd4b1ea,9
V047_rep3,COI,6ab674a2dc68a0c7ca401ec1a5054d6199ef355a,2
V047_rep3,COI,9da25656a44edb92c4ba9300e2f51d6f1da4f239,2
V047_rep3,COI,9bbdcae791f4748c4ea18be7dfcc177e04b9c169,151
V047_rep3,COI,11e19e59b434d82fb02f52fc96bad4000c6bc769,2
V047_rep3,COI,76af2c163d11c016907f14ec05d28276014a0b3b,17
V047_rep3,COI,5d5d225d0bc0639b12d601ad29ebe5217ad3ae0d,14
V047_rep3,COI,66f430112b1212c7beef6ceff22247e41a72e66f,6
V047_rep3,COI,29c0f6c357e9c702bad4de4cff2ed43bfd296beb,1602
V047_rep3,COI,3d63e6c1dc80851d97426b0295a88bc9884d896d,4
V047_rep3,COI,f19f99aa0306167929eace3803e0b8275a17e18a,3
V047_rep3,COI,a30ff8325d92a78c7b0aacf9790c092fb0fdabdf,150
V047_rep3,COI,6506935a8d0007f9e7a74fa15b40f5b6aeae5388,4
V047_rep3,COI,8d54f07233312159d34023496c09afa0de1fddde,6
V047_rep3,COI,d16a48a97fc86716f1c4952f02e64507d5028527,38
V047_rep3,COI,aab783e517ce26b33bae790975307e74693413ef,7
V047_rep3,COI,c78907513342a9bed9a8798d826d1b95a5a3c3d2,25
V047_rep3,COI,f0397e885aa6f1ad72d730b3e5ab124dfe5ebe15,3
V047_rep3,COI,b2c253aa137a9f4fa81c8538eaac3c18d7b5eed5,34
V047_rep3,COI,e39e83e406b0ef7a84e9fe356eada7f50fad2425,6
V047_rep3,COI,e071e048eb2716f4e8e65990218b9341b6ab179f,34
V047_rep3,COI,f6ad1a154a5f8edb835be3241bbb918a7dd4aadc,5
V047_rep3,COI,c51300cfd57a3783898c5ae0c1470323bb9d6de3,4
V047_rep3,COI,6a4d4d3a39a52ea4d17309e06677811da7f35fa3,3
V047_rep3,COI,653754dc5dd6b23b59e60a5057147076a62c8e13,5
V047_rep3,COI,8aefb58fe2648acdaec6f44662271319489b8676,24
V047_rep3,COI,d2d8ad1209e6730049bd695a00db24b3c050cae2,123
V047_rep3,COI,9f060d105cdfd0d8d9caa54da43d88aaf41b4da2,16
V047_rep3,COI,5d3c43b2d9f96ae5b222d7ccd35fb1da3c6eda4e,4
V047_rep3,COI,e17d82f17897a6661159020fb9752597152cc134,7
V047_rep3,COI,44cbabde840ffc0ba52a168e1dec185a76532335,3
V047_rep3,COI,40c814f64f769180dfd038f9153b9c384af437c2,4
V047_rep3,COI,38c9da2e3705d023e5e78644b7fb88b0eabdb02f,12
V047_rep3,COI,c4233fa9bcb812edbb1e076edc62544de052fea3,5
V047_rep3,COI,555bb91dca3a6f0bdf01c208833ad93ccde73100,2
V047_rep3,COI,053a037393e28810460f7528699635ac6d26e4ec,33
V047_rep3,COI,9b1540837d1734b43d4804fd2a1db84d1add91fc,12
V047_rep3,COI,d8ed183c966877b5c28a49303eb18cb7563df1ca,2
V047_rep3,COI,e6e95ff64c362772b4cd4a136a3050310b214bb2,19
V047_rep3,COI,489b03023fcfcd2ac708fd5226d1a26cbe324079,3
V047_rep3,COI,183a4fd7e285654818707d82145ffa5ca19ee085,6
V047_rep3,COI,49c0686f76bfd1bbc0bbf40f3413bf0f8edce9c1,73
V047_rep3,COI,93c5e72917934e4f40b5175d8025b31048208fd1,15
V047_rep3,COI,1ddeca085c46471963271afb71a44a5bfd8d512b,12
V047_rep3,COI,a831f6686d91228a624978f6df24f4057e9470c9,20
V047_rep3,COI,9e9946c74764708ee7b3343227665e7b15b54acf,7
V047_rep3,COI,177e3ed737511d8296a0fc628f5f33483e9b83f6,11
V047_rep3,COI,6608800505cbe9135955a8df3333e2d767fcc851,32
V047_rep3,COI,fd1f7f4d826184e6228db514142d4db542fd7d4b,4
V047_rep3,COI,260e287d0fe30819ca854e09acbd90ef2f167c60,6
V047_rep3,COI,d67fb042ccc509d96a25e60a54dd576a0d3d9e49,9
V047_rep3,COI,c3e4d523aef5e73780a88c1bb85f5c9ab4ef9029,3
V047_rep3,COI,c1c632f4d61b41b7b5d1a17c42a9e45438e5e1df,5
V047_rep3,COI,6b426e2497407975b913119f96d0c2b1d6e36c79,16
V047_rep3,COI,95fdb82a6856d1255d55ac7cf00a5afb40ff54e7,2
V047_rep3,COI,801c7e29d941492624da001fc64b3948d90e08b2,4
V047_rep3,COI,a58c67f3c758a31e6bce21accc40c07abf96af7b,32
V047_rep3,COI,e2de1149858643cf47038d0760793b517d748ff7,8
V047_rep3,COI,7d667b34b10b3f2e95bc72708bdd9759483ff9f7,20
V047_rep3,COI,7960d9ee57daecd20dd7ccbea7087a050a46d295,2
V047_rep3,COI,7c30e018a39a5cd3bd978162ff5bec24c4d6e472,18
V047_rep3,COI,96919f2693146e23f7d5a29efff340bb9b371b9e,14
V047_rep3,COI,eb77d3abf5c0e22cda4b153be5ac84b33fa2274a,55
V047_rep3,COI,67cab72f3637c8f07a333b8951f7be262d85677e,11
V047_rep3,COI,fd7a110a2a16a4ac0403eab2d8f9ec717a223cd1,5
V047_rep3,COI,8effa5afbcdd84a04ff9fbf2b8c8741762971c7a,12
V047_rep3,COI,7385c7bb518ca207641e2dd320b0d4ebd13db2a6,35
V047_rep3,COI,76add64e1dd3c386e3510fee16398df7e94a87a5,16
V047_rep3,COI,cebe277123c485be8711dc1457cc3be1b49b801b,15
V047_rep3,COI,a02c920585159ae66689eee1a07f9fb30f6f699d,16
V047_rep3,COI,2535d61e99b2ad7f647025391bb1b617e31d1529,174
V047_rep3,COI,302a7875b74fb56c1c126fcdc2adf22f0d0d7140,6
V047_rep3,COI,a131dd7be811cd58b97290785a80dbd0b96ed18a,6
V047_rep3,COI,1f106e85ac6aa746d0dac53fa9ee1e8118b50dd3,13
V047_rep3,COI,52fb0bbbc8ac04a203f7b7bfcb8760e4d98730d9,125
V047_rep3,COI,edadc0d6c49089a9a2c6599f82ab9284ff185631,52
V047_rep3,COI,ce443b55a16ba379cd2143cfb5c8a66baac3fda1,85
V047_rep3,COI,b237c19ca3191d9f721e714ec4803651539b7895,6
V047_rep3,COI,7e9af5a0713e6b171dbd67e15a931f54984011db,8
V047_rep3,COI,774ad0ea7ee1c09b4bb1aba77741c45fcb9ccc47,3
V047_rep3,COI,05a312da35344b7078772699b7e918c4d9bcd4be,26
V047_rep3,COI,7091e8e8a0f8e53a8fdb38bfd22e61a6736d3205,22
V047_rep3,COI,e6a8f1157edb4b53c7045cdb633ddc653543e637,9
V047_rep3,COI,4e6377c9a93cbf3d8b413373aa158e4fdd77bb50,53
V047_rep3,COI,ec2d30d3ac44460ae6b4190bbe7cc8a812bf8753,251
V047_rep3,COI,d3bc25884dc586ef61aefebb67a75bd1d32a8df3,4
V047_rep3,COI,7aefbf5c8d45e9c94de64e0c4e806c5efd52966a,7
V047_rep3,COI,f42382b7f9eb78c2674de934b3b69f174689da37,38
V047_rep3,COI,1eb116b1413c530b196050a1cb1bd8e6bf5e30e5,4
V047_rep3,COI,dbb40f9269a031ef9d04c34611c0aed9cd987d37,215
V047_rep3,COI,bc2493ea3be3468ef8c398f0c27557e229e40232,8
V047_rep3,COI,45b7a172bc96efc4860f280a7d77b3b527f33599,3
V047_rep3,COI,c0228429215399127acc2fc2f3fc36b7542e90ec,3
V047_rep3,COI,0c2e631f3d8bb9a40459da96335a2ced5adde827,137
V047_rep3,COI,49099470d24bf7ed27ac20157b4ed9ad91b88544,5
V047_rep3,COI,fd6ca31f685ef2f812663a0e11bca4b111a49f3e,22
V047_rep3,COI,878e8768e19cb52e902921e2b00df0bd70384178,3
V047_rep3,COI,ca48fc918af56126a898bc0be7da34b861759f83,15
V047_rep3,COI,2416efb2fe6010887a237ef1b187ed555fb68fd6,8
V047_rep3,COI,97285ef7df3a481add63a578930b35147bebdd52,11
V047_rep3,COI,3dc6c5bf28f2f5ab0f6f86375153422fa3a3fd5c,88
V047_rep3,COI,99f69a9c8962272eb2224c9da6d8cfa24fcde3f5,398
V047_rep3,COI,c25065430da82a10fa5845f36832ff0cd79b4055,117
V047_rep3,COI,9e7f2951bf42c501fe009f7ef2154ac926d363d0,15
V047_rep3,COI,80ca2e47c9345b980079deccda4302e575a343a7,4
V047_rep3,COI,3e986c66272c8387657ebc647255d85c4ffa86c3,17
V047_rep3,COI,c57a5ce3cac6c21a89ee700f8ad6e34194eba385,5
V047_rep3,COI,bcfb88160c05c525d3e378d5574823c669172a3e,12
V047_rep3,COI,cf2c9337a587f3fd60e72367fc126b2364aa1fcc,14
V047_rep3,COI,942d0cbf9ab588d158a618952e519bf11c8dc94b,11
V047_rep3,COI,6556264dd618a9e376f9a339f4fccf95d081a60a,2382
V047_rep3,COI,a18f67a2c86d736be6b0b1bdabb2337867473b47,5
V047_rep3,COI,b44230cf1ccfe4d8cd5a13bc6b26d0b332df993c,8
V047_rep3,COI,72b02f421ebdd7ca1c89edc18a88395d9b80d8e4,10
V047_rep3,COI,022675dc39d9d25458129e3f460f983e36484ce0,119
V047_rep3,COI,6ccddd691d808131d5316801957878fb5f59e8a0,4
V047_rep3,COI,f7ca69ff1c2076a4bd74090edcc1014ccfafc6c4,25
V047_rep3,COI,0cf5708cf6476078e6c1603a457acdf1c6e0f126,2
V047_rep3,COI,61c5e71a78306be704f33ca0a04cd126d8f9e8f0,5
V047_rep3,COI,6cd14bd64db15cb82408d3bdaec715826e1377a4,18
V047_rep3,COI,51426117634ab4a0df934c2d945c59ff40567001,89
V047_rep3,COI,c73f998c9d26971f6e8899a06bfe9f3749e3d414,5
V047_rep3,COI,6ea5af5d908e03be335f57d52550ef609f74b448,16
V047_rep3,COI,50fe9e137cb80a494c37a013782dcb2f4744b28e,235
V047_rep3,COI,ca8fa21af88946b13f2c1d623f6787cd6769fa77,10
V047_rep3,COI,26c1077db5ca9ec783c8afe78a3d8bd24f8b7495,15
V047_rep3,COI,04e15beffbbcc961f25fec69f8ce03dad9d09ff1,51
V047_rep3,COI,51f674d3d0dd3ea25e5141994f664ab6cb646545,9
V047_rep3,COI,2aff65013d0931fca0ed834f663ecd30b07f9ba2,7
V047_rep3,COI,18788115ae7a274891430abf9b01b07e874e860d,4
V047_rep3,COI,218f0c935719d480fb40503d9a8f87c0bf07065c,16
V047_rep3,COI,47ffba3913edbacebb21a5b90593832b5119e150,3
V047_rep3,COI,4db8f04705f81ecfd1b34892ab12738ffecc3a12,45
V047_rep3,COI,d0e33657d8f85fa275154ca63848848e24352f37,22
V047_rep3,COI,c38439698af9d7cec3951644630c7423916eaffc,17
V047_rep3,COI,50ba5b4183afc9f4c2ac7fb46214bbb1de709aa6,3
V047_rep3,COI,4248d13e4e8ea329525f9b92ab1c205baa58b720,82
V047_rep3,COI,ca467850479ef16a465326f0572224b1dbf5a39a,9
V047_rep3,COI,eb6c73ba17958d8f82187b484787680bf40d4965,4
V047_rep3,COI,46558b0ba244cb65eddc0a96ff0acc52ac4a1d87,9
V047_rep3,COI,c85dce14ae4f89ec502c2ba04a3f64cb97403911,25
V047_rep3,COI,402f6f56222c25bf309b1b3a1a88793c79d866dc,31
V047_rep3,COI,c421eb11e019b07ed92e78874224d0843255125e,23
V047_rep3,COI,e8bb72e7b22f20ac4c953ec55979ad2708a3c0f7,4
V047_rep3,COI,883fbbd5ab88e7a7e7732a5b2e30b78d261a974b,2448
V047_rep3,COI,5a8ed54f5b6a51d22f94d47c968c48a38f962266,141
V047_rep3,COI,ce2fbd583711dcc03044d8e0f80284502d0f17a3,7
V047_rep3,COI,c46536d36a16578b3227cbef647c149f099d7625,39
V047_rep3,COI,f138a2b20a232b14f009fbff79688d8628d20fb1,1
V047_rep3,COI,c01c139d69eec3a75268f01e213379cbffbdc98f,69
V047_rep3,COI,5bcd8e2fbdb14bbb1ba35dfaefc9a3e3c7dd7239,2
V047_rep3,COI,c60d3ae882ef0c5b9347ac329674b5c946a3663e,12
V047_rep3,COI,69819bfa80fe6f302b544ba53a93e2f44a1a6032,7
V047_rep3,COI,b2e82554ff4585af268411894f39bfbe9741b6e9,3
V047_rep3,COI,afb343fb365ef8fd1932c10c9981a22362b472db,10
V047_rep3,COI,5b5625818161a04ee9cb8f6ed4e0266b1aad41d5,19
V047_rep3,COI,4dfc6705262587c8291ac6e28db7c754309de175,29
V047_rep3,COI,6b3f33f79e7c8436c8f96791efbe2209b0899882,5
V047_rep3,COI,fb8f311cf1335a42851dc7d84615db537b582cb7,2
V047_rep3,COI,899c333b2a12e057b596ee2f0c1619806f8eaa1f,3
V047_rep3,COI,e9549b807a0c4022779718be86ff2a69733b166f,78
V047_rep3,COI,daba9038d5def533b29d80ea7e874a771b4793a5,14
V047_rep3,COI,e28cd2a5e2e61e667d9681f9a95d11aab6a1b8aa,15
V047_rep3,COI,cc8bf944e64109c329e82ac6cf6797ceb20484a5,4
V047_rep3,COI,246f0f043fc77bcd792c6952ce93d28513c53537,4
V047_rep3,COI,69f122c6c5ceeedf1365b00452b071cecdeb0874,3
V047_rep3,COI,b72642d85f6c2827fb6d9912c6d05385e507b964,21
V047_rep3,COI,a1e36a4c0bdc62802879395b4552a7746ceaf502,4
V047_rep3,COI,70b2f42aa422196ac9e32a0df568a030eacc9eae,6
V047_rep3,COI,04104ca30f6f3b736244030cda6695257a58573a,4
V047_rep3,COI,8b31fb37544d95b5de9fd9b72b290dab1fcf0b13,2
V047_rep3,COI,25d595f4bcdc391cb096073cbab38069f76934cc,13
V047_rep3,COI,f47b1ccc4d3100dd01dd2af818664d5638607fd0,1370
V047_rep3,COI,a73151ac3140bd04efee97aff10547531e127e82,6
V047_rep3,COI,a2a7e9e33722c6548ac4b7f48ebaa0704baea644,29
V047_rep3,COI,3406d1c4da56752bc4b4040bf93382adda80cb7b,7
V047_rep3,COI,b95cea2b10719dd07ee08ee895042c288bec545b,5
V047_rep3,COI,d4cc57592dd446763abb33f897ab77ada7def396,18
V047_rep3,COI,c78603433a5209d3bdcb772050b8ec7c81a91590,3
V047_rep3,COI,9cdccb2eb850b10b3587edb75a9a41ae5086e889,776
V047_rep3,COI,c371d52b9c91fdaf78a6e3ac462ce34f9343102b,75
V047_rep3,COI,8d11b76f69397d634d680348166a5d70121fc82d,122
V047_rep3,COI,4ec01ddeeb7f6a4f74ca7d01f2bcd40a1d655f05,3048
V047_rep3,COI,b9d8346b896fb7b56d86c3fc4d0cf112ac60a88c,240
V047_rep3,COI,a632e5b9df73801ef21f4b25b7d9ad154ae08100,14
V047_rep3,COI,b085e1e5eb0aaba50d1c8d632b0efc7a443b58dd,14
V047_rep3,COI,515d2a104998f3005c72665dad8cc2b427f2a0d8,432
V047_rep3,COI,bf713959abb2505b79abb466064bd6dbba195253,249
V047_rep3,COI,1d23834f634fe60594cf00f327510ca7357b9b74,26
V047_rep3,COI,479077cb80f1fe32fa2d6693b114dc51b0e52193,8
V047_rep3,COI,70dd36bb62ba982d21a2afd291ac09c04fc3fe2e,1
V047_rep3,COI,05ec74e5cbb771df4a9b25920e48727abe10dbab,2828
V047_rep3,COI,32b959345e4e34864821573cd3d55e433e2c9b44,37
V047_rep3,COI,d7863a2a1ec4d080952db42040c973e18577dae8,43
V047_rep3,COI,337309e2f6532df444a653e2af8ae60a318cd1a9,3
V047_rep3,COI,832bc752a8d915456d7f0659b9e5dddd1a4db9ff,19
V047_rep3,COI,a7413da2b46bc2d12559ebc6fbdf76bf5e7c63b9,160
V047_rep3,COI,4d5e8f65736b79b1a9725ebaf7447be5718381cb,17
V047_rep3,COI,fd01f2fa24ae6e759bdf95ada39449535f95b592,521
V047_rep3,COI,6eac1903a2c07d6c9b084059cc3ede8455f72c4f,14
V047_rep3,COI,bbe8852247a096aed5603df913e2246a4f2293c6,22
V047_rep3,COI,49982cd6606eacd492b08fcbd832c9390fd59b8a,41
V047_rep3,COI,21cd46b325222a147abf156c05cdeb75ab1a55a4,8
V047_rep3,COI,6d9b5a86264b9abb7d5e109b797ec1b591018a13,13
V047_rep3,COI,8705da7e311e9b8aea88db3e1f86bf8f92c8e79e,21
V047_rep3,COI,a38d0f99c78630f2891c02110c5b3826b764840c,3
V047_rep3,COI,259f35fb5b005b03740087525da9cb1c0fadeba8,2
V047_rep3,COI,ac8aa7b4b65e69df7463fef3a5ffb492d6ba8eab,2
V047_rep3,COI,1b91e35f86d0a126f581d260d0327255b365941a,9
V047_rep3,COI,dce1c1e98967e698a640714ae83e0099281d062c,13
V047_rep3,COI,175c1e33247a607c0384208a0272d380738d6838,31
V047_rep3,COI,d07fb5629dcc7a97ece01ad8a57967807453a988,15
V047_rep3,COI,eb73a35f37215abfcca0d34be230e6cf5bf8dc95,13
V047_rep3,COI,0b134d1f3549a3e67ef4faafb21451f55fe54b25,47
V047_rep3,COI,ffaffe6095e477adea017c55fa223d084fa5fecc,7
V047_rep3,COI,c5caf5515776096478739a0e7c417e306178ff41,60
V047_rep3,COI,2b08263d4603057866db4963694ea27aa3c001a6,98
V047_rep3,COI,9530c2836a2df5f22d978fe21b24f230261121a1,117
V047_rep3,COI,74565d068479e5f9cad7f6b4687d611d79102942,4
V047_rep3,COI,5be65ff060fe8f1177e7c7218fe78814e91c04a7,16
V047_rep3,COI,776152e563aa9c50d25d49440396552106ca9e3b,4
V047_rep3,COI,d40d9b3abd9f2a04dbbc53355cc289a1422d6902,4
V047_rep3,COI,32e9d183440abed58454e1e94f1fff43b711ef96,330
V047_rep3,COI,d1572a77ee10668a99be54f48336e6b83620e547,24
V047_rep3,COI,f79686001aeb79ea5d3c1194f81c060ea6f80d55,5
V047_rep3,COI,8ac4d7a46d2d60f69c0c14f7c2a159f00b8cfc7d,33
V047_rep3,COI,a8e3348841f23eec3372cbb5691cc8d54d380391,9
V047_rep3,COI,fe2b7972f61b5d82cf657253be59b7973cd4414c,48
V047_rep3,COI,680fc4c00801331f7a74047baea85133ed97fd14,4
V047_rep3,COI,37edb20c98eb4b3ee09a0aac54deff2b13ab03b4,9
V047_rep3,COI,8ac325c200ae31fac82462916ec4cf061b2fa85b,2
V047_rep3,COI,942a40e5297222ce114861ad58fd9c95b08a5446,147
V047_rep3,COI,5e3bf014e754523bd9115a7dadf0a10c140c5d8f,17
V047_rep3,COI,2064b821f59756f75078c1d5b6f11d518a4dca24,13
V047_rep3,COI,8c0a5a61bc49f4245c7cd17add9b3b48ea4da76b,4
V047_rep3,COI,47d2051ddd74c03ab986e563eb7cb0b58098ef55,15
V047_rep3,COI,3a2dd5ad6915446a8574c3c8a1ddff85d0445441,6
V047_rep3,COI,816aa4f2dabdf70131192eca465e712c248e3f0b,7
V047_rep3,COI,52a7f60b737e9e2ca9bea4a72bf4b0ffc1dbbfce,2
V047_rep3,COI,8811ec81188477e77683e778c3a431a8803b6e03,8
V047_rep3,COI,c58da7499cf13c0dcb03293528c4c7f2a94668cd,2
V047_rep3,COI,3ad267b58612f9922ddae799756242ba99a5ec2d,9
V047_rep3,COI,18d6690e208887c363ddd09abbee11e614f3109c,4
V047_rep3,COI,80312adeebc52d55ddb39a25aad4a7aa7f9eb038,12
V047_rep3,COI,48382231b2981835aae29f5696569aac60f69d32,5
V047_rep3,COI,919f1acbe6533c3d62ce03ec548927d79772c049,50
V047_rep3,COI,c3969a4a6848e198c4da1ce72aec37c11559ef76,3
V047_rep3,COI,556f2556fd37e4acbf331d6ce4b41ec3ad1946ce,18
V047_rep3,COI,75bbdce1f30c620cb2453c133dc7b16a42af878f,21
V047_rep3,COI,50be81259f6a92a9ee855b3534c62c9babef4fa4,2
V047_rep3,COI,2e856b23c90b1b87a774c89e66d49dce41e5e23a,24
V047_rep3,COI,6369d8e47138b4ffe385a6c29ef78bde47227d92,4
V047_rep3,COI,44037f768939957e43ea0a96f13210b8b508660c,38
V047_rep3,COI,9d14e36a6bf52e2e0a05e36a3622ddc73d71b9da,56
V047_rep3,COI,dbe79c8fd6f021a346a5bb67d780f3bee9e0d6f8,10
V047_rep3,COI,50d68301ebb3bf9df1b6452f614b25d9be6dc406,4
V047_rep3,COI,84260e8fd5dbe6453ce9e4d97c7ba9db45a08441,7
V047_rep3,COI,89e9a11e504c292608089dc324be7923a0cb99d2,8
V047_rep3,COI,5024d1bb01ba1447f2727f616ca0fc04bf0a3297,7
V047_rep3,COI,7405ba5629cb5e1d0fc5f7c145340daeb84f5c30,25
V047_rep3,COI,ccc20678fecade2c457a15c2b6606a0d8816986f,94
V047_rep3,COI,50f88b0022d25683b42185c2bdd358a8ae3c5d9d,14
V047_rep3,COI,981015a8006648a0251f1fe6f4060c91df7cfb7b,53
V047_rep3,COI,54953477a1ebc6e4ff5c66ecaf30bafc7787c1c2,5
V047_rep3,COI,eff53f59e5cce96686e82ad964a63e783ba60c18,6
V047_rep3,COI,60384aac53b1108c1ce20cca0e168d46d4350af8,12
V047_rep3,COI,52b23330bc5c9a5e93a5f7ad041720aa64f65b7e,17
V047_rep3,COI,b42c0c23ebd28afe2c8e7b93e1313cbeff1646e2,33
V047_rep3,COI,9909566e0aba002988aa35071db9bc4de9366e73,977
V047_rep3,COI,faa6811494c034dc5b4413244890f496eb8ad491,22
V047_rep3,COI,bd94305ea7c8999819ff1a154668d43f132efa9e,127
V047_rep3,COI,83801c8a3b9b18ccc704202dab380ec161ceaea2,28
V047_rep3,COI,af713d073c6103ab5d57849e58a263f8ec369cdd,13
V047_rep3,COI,4d0e9aa246cf8012f0b9f5bcb34c1a49320bfd2b,51
V047_rep3,COI,feb9762c729716e1f7d930f4db019d46aaf09600,507
V047_rep3,COI,257d549d4ec415ca8badcbf08b070aac4c8e59c2,439
V047_rep3,COI,08816de8e718166eb71e73747e20273ce7f2d7db,100
V047_rep3,COI,dac28e6817794db3a8b5a735eb90d2e341436924,54
V047_rep3,COI,a841ddf8fe2646ac7712bd21dd3147290260df8c,17
V047_rep3,COI,49b30e0e80bb522e8b71e9994774cb3a3718877b,23
V047_rep3,COI,7b09d2a5c9b1f09200072c37e6b83972e1cbd0be,85
V047_rep3,COI,42e41e74899801bb3d59532801c970384280acdf,14
V047_rep3,COI,792305a13d3426c2e02ee9378ff3421d5be8abba,7
V047_rep3,COI,6c34bf38276bd21f58878540dccc3690f9c8c85c,12
V047_rep3,COI,31211b7367bb1979073898e119ad8afa9e3668fa,260
V047_rep3,COI,8c25bd15037fd4c5ffdbd92d1502d28b93f525c4,16
V047_rep3,COI,c8a226cdc794adf3ae1f7ca10b3179c689e2c35e,8
V047_rep3,COI,8fe219a1d8def4063c4cc54d52afde0f1f1b3d54,2
V047_rep3,COI,6ec0d00a6fee885ed6a3e381a3fd0d17f89e681a,2
V047_rep3,COI,19f698e39d33fe50760e9430445a91a4902ed5c0,14
V047_rep3,COI,1115798a5b33bf7bc525f5d15f49761513c8b6c8,7
V047_rep3,COI,c500f06799841b7504bfbc4419082d1c2c20b47d,2
V047_rep3,COI,45010ead894293e2d955a9439787382452a05061,48
V047_rep3,COI,24788b3cb90ac56fc09acce1b0034ec2a514ec72,2
V047_rep3,COI,377afbfc15dfa83f286acc5a362df0ccf3d78bc0,1
V047_rep3,COI,db2009f04ad6bbb4c3020788bda71b29b78cecff,3
V047_rep3,COI,0a5cd12e19358f8077ddfa9bad0148551092e045,8056
V047_rep3,COI,8cead4940d393295258f29ec68135b964b03291d,380
V047_rep3,COI,56ec175f424bd2aaa5b55478a6e4c2a67fb301a3,78
V047_rep3,COI,ca9b1f220451dc5c59b182688736f99e2e78f12c,52
V047_rep3,COI,3937829c4906b1e504265ebec5d694aa004563e3,2
V047_rep3,COI,8507e2ff7a626f30b075fe2a16f2014b5f334b1a,10
V047_rep3,COI,ac4dae608a23e7a96d3dd5ba0965102704772ace,12
V047_rep3,COI,5c522af108f5b9a2b9a3484d2e43e41a2e89dbe4,5
V047_rep3,COI,a8cd85a636cd9b855427254066ab2e1ecbeb3b1e,41
V047_rep3,COI,f283a211c9d4fa635879816190dc64b97ea7a7f5,3
V047_rep3,COI,023da70affb0b7f8aeeccb469e98623bfd751126,28
V047_rep3,COI,ea845dcfaddee80fdae7527ebb4772659e20a193,37
V047_rep3,COI,2742dfbdf41d3d02eb3ab34b066a4c1c1c168fdd,12
V047_rep3,COI,370a0f0f35b4596d152b0faac10be658ab852f87,5
V047_rep3,COI,538c0977a7fd8a3d7e26c71b93d67225a32d8dee,24
V047_rep3,COI,7585b728251d3922ef1863ddf24efe288c3225b5,5
V047_rep3,COI,4ec92605b744313eaecce46937d557e7df7649a9,38
V047_rep3,COI,8a04ec24820992e18c88b514302a601784759830,65
V047_rep3,COI,83e1442737c6c781dd1121c5719d105b96f9ce67,21
V047_rep3,COI,45dd7d31d8543005a00018e7d98a8fdcc03bf0bb,66
V047_rep3,COI,80712e14c865d76898c189bcc956f7a3b1a01bb6,32
V047_rep3,COI,7c382e73c57775a85a40520e775f6d5a1a165933,15
V047_rep3,COI,cabf5631a662dbf8b9b99699e5bceba53a08b45e,47
V047_rep3,COI,de8addce710882c1b253ff3490baa9b01f228650,79
V047_rep3,COI,5344313c9430ad15a229db0710f34be49694c92b,14
V047_rep3,COI,6072297d54f8a998beff821c7b4b6bfa148cf70d,36
V047_rep3,COI,401fad766af7957bcba16e9d17dff6341f9f7ff1,28
V047_rep3,COI,efe3aca532571f1ae54976d1c7f6cf073a109df0,3
V047_rep3,COI,dedec184a34d0def72532c424055491318cc4513,9
V047_rep3,COI,0ca2cd891bf4bd716e5c189ded38aa05adadae13,3
V047_rep3,COI,6ae751a16071799a8897bd3155d59cba868d392c,61
V047_rep3,COI,9a84fdc60dc92b41b0195fdd5c8dcc3c085f71de,24
V047_rep3,COI,dde7921115a385bd3609817c8654c8cf2284b383,3
V047_rep3,COI,2edfac1c33842ead1e6963cb43ca54a8b394155a,2
V047_rep3,COI,abbaed798d2cb5c8d19ae4dcad832d6923b735e0,6
V047_rep3,COI,eff2670475a39670972f9fbe05ebef4b80244a3a,7
V047_rep3,COI,166fa07ad92c4d38ec995c89cfde96e46482409a,39
V047_rep3,COI,2ac92136b3be7bcf661d59ba1b05afa494a23640,20
V047_rep3,COI,bf285361f695d2079fd75ff963f26e6692f4d03d,17
V047_rep3,COI,ec5710a0964e43914214b2f3a94dd4ac73d37e09,3276
V047_rep3,COI,35364bf2615dccc5b7d06394b6d36eabdfe47c67,383
V047_rep3,COI,e0ae3e12e7abdaa0eeae5e56118a19d2d6b2f824,573
V047_rep3,COI,6898b22bbd93cdad2500437edec1849cdb53ca88,1
V047_rep3,COI,da54b1606f22644f20d4431d9a059737fcf64b5b,905
V047_rep3,COI,f6f70a33197ab8476c530859566748cd5fe26e89,11
V047_rep3,COI,68b9f597703228754e720df2ecc99da2b6f0365d,3
V047_rep3,COI,f9b25e944e840dbb17a913e384825fb0e3762fd3,227
V047_rep3,COI,057fddc88f86b1d795702a7d3d0afad005f97849,160
V047_rep3,COI,4b19ed1a719d2d8eccbd3dd42d5dc157b6da3dc0,18
V047_rep3,COI,5211a277d8ec27cb31583c29cd06647865551223,5
V047_rep3,COI,ce355c11c49ba64a86c093d504195a9843786f87,69
V047_rep3,COI,d90fac0dec3ba758fa11410aecd6d0638c0bc312,8
